VarName,VarNumber,CodeValue,TableName,ORDINAL_POSITION,VarName1,CodeValue1,ValueLabel,Frequency,Percent
STABBR,10016,AL,HD2024,6,STABBR,AL,Alabama,79,1.301
STABBR,10016,AK,HD2024,6,STABBR,AK,Alaska,11,0.181
STABBR,10016,AZ,HD2024,6,STABBR,AZ,Arizona,110,1.812
STABBR,10016,AR,HD2024,6,STABBR,AR,Arkansas,80,1.318
STABBR,10016,CA,HD2024,6,STABBR,CA,California,668,11.001
STABBR,10016,CO,HD2024,6,STABBR,CO,Colorado,86,1.416
STABBR,10016,CT,HD2024,6,STABBR,CT,Connecticut,53,0.873
STABBR,10016,DE,HD2024,6,STABBR,DE,Delaware,18,0.296
STABBR,10016,DC,HD2024,6,STABBR,DC,District of Columbia,23,0.379
STABBR,10016,FL,HD2024,6,STABBR,FL,Florida,336,5.534
STABBR,10016,GA,HD2024,6,STABBR,GA,Georgia,141,2.322
STABBR,10016,HI,HD2024,6,STABBR,HI,Hawaii,23,0.379
STABBR,10016,ID,HD2024,6,STABBR,ID,Idaho,34,0.56
STABBR,10016,IL,HD2024,6,STABBR,IL,Illinois,240,3.953
STABBR,10016,IN,HD2024,6,STABBR,IN,Indiana,110,1.812
STABBR,10016,IA,HD2024,6,STABBR,IA,Iowa,75,1.235
STABBR,10016,KS,HD2024,6,STABBR,KS,Kansas,77,1.268
STABBR,10016,KY,HD2024,6,STABBR,KY,Kentucky,88,1.449
STABBR,10016,LA,HD2024,6,STABBR,LA,Louisiana,113,1.861
STABBR,10016,ME,HD2024,6,STABBR,ME,Maine,34,0.56
STABBR,10016,MD,HD2024,6,STABBR,MD,Maryland,78,1.285
STABBR,10016,MA,HD2024,6,STABBR,MA,Massachusetts,144,2.372
STABBR,10016,MI,HD2024,6,STABBR,MI,Michigan,160,2.635
STABBR,10016,MN,HD2024,6,STABBR,MN,Minnesota,95,1.565
STABBR,10016,MS,HD2024,6,STABBR,MS,Mississippi,54,0.889
STABBR,10016,MO,HD2024,6,STABBR,MO,Missouri,140,2.306
STABBR,10016,MT,HD2024,6,STABBR,MT,Montana,29,0.478
STABBR,10016,NE,HD2024,6,STABBR,NE,Nebraska,41,0.675
STABBR,10016,NV,HD2024,6,STABBR,NV,Nevada,41,0.675
STABBR,10016,NH,HD2024,6,STABBR,NH,New Hampshire,33,0.543
STABBR,10016,NJ,HD2024,6,STABBR,NJ,New Jersey,149,2.454
STABBR,10016,NM,HD2024,6,STABBR,NM,New Mexico,45,0.741
STABBR,10016,NY,HD2024,6,STABBR,NY,New York,408,6.719
STABBR,10016,NC,HD2024,6,STABBR,NC,North Carolina,163,2.684
STABBR,10016,ND,HD2024,6,STABBR,ND,North Dakota,25,0.412
STABBR,10016,OH,HD2024,6,STABBR,OH,Ohio,273,4.496
STABBR,10016,OK,HD2024,6,STABBR,OK,Oklahoma,98,1.614
STABBR,10016,OR,HD2024,6,STABBR,OR,Oregon,73,1.202
STABBR,10016,PA,HD2024,6,STABBR,PA,Pennsylvania,315,5.188
STABBR,10016,RI,HD2024,6,STABBR,RI,Rhode Island,21,0.346
STABBR,10016,SC,HD2024,6,STABBR,SC,South Carolina,90,1.482
STABBR,10016,SD,HD2024,6,STABBR,SD,South Dakota,27,0.445
STABBR,10016,TN,HD2024,6,STABBR,TN,Tennessee,143,2.355
STABBR,10016,TX,HD2024,6,STABBR,TX,Texas,403,6.637
STABBR,10016,UT,HD2024,6,STABBR,UT,Utah,61,1.005
STABBR,10016,VT,HD2024,6,STABBR,VT,Vermont,17,0.28
STABBR,10016,VA,HD2024,6,STABBR,VA,Virginia,147,2.421
STABBR,10016,WA,HD2024,6,STABBR,WA,Washington,97,1.597
STABBR,10016,WV,HD2024,6,STABBR,WV,West Virginia,68,1.12
STABBR,10016,WI,HD2024,6,STABBR,WI,Wisconsin,87,1.433
STABBR,10016,WY,HD2024,6,STABBR,WY,Wyoming,10,0.165
STABBR,10016,AS,HD2024,6,STABBR,AS,American Samoa,1,0.016
STABBR,10016,FM,HD2024,6,STABBR,FM,Federated States of Micronesia,1,0.016
STABBR,10016,GU,HD2024,6,STABBR,GU,Guam,3,0.049
STABBR,10016,MH,HD2024,6,STABBR,MH,Marshall Islands,1,0.016
STABBR,10016,MP,HD2024,6,STABBR,MP,Northern Marianas,1,0.016
STABBR,10016,PW,HD2024,6,STABBR,PW,Palau,1,0.016
STABBR,10016,PR,HD2024,6,STABBR,PR,Puerto Rico,129,2.125
STABBR,10016,VI,HD2024,6,STABBR,VI,Virgin Islands,1,0.016
FIPS,10026,1,HD2024,8,FIPS,1,Alabama,79,1.301
FIPS,10026,2,HD2024,8,FIPS,2,Alaska,11,0.181
FIPS,10026,4,HD2024,8,FIPS,4,Arizona,110,1.812
FIPS,10026,5,HD2024,8,FIPS,5,Arkansas,80,1.318
FIPS,10026,6,HD2024,8,FIPS,6,California,668,11.001
FIPS,10026,8,HD2024,8,FIPS,8,Colorado,86,1.416
FIPS,10026,9,HD2024,8,FIPS,9,Connecticut,53,0.873
FIPS,10026,10,HD2024,8,FIPS,10,Delaware,18,0.296
FIPS,10026,11,HD2024,8,FIPS,11,District of Columbia,23,0.379
FIPS,10026,12,HD2024,8,FIPS,12,Florida,336,5.534
FIPS,10026,13,HD2024,8,FIPS,13,Georgia,141,2.322
FIPS,10026,15,HD2024,8,FIPS,15,Hawaii,23,0.379
FIPS,10026,16,HD2024,8,FIPS,16,Idaho,34,0.56
FIPS,10026,17,HD2024,8,FIPS,17,Illinois,240,3.953
FIPS,10026,18,HD2024,8,FIPS,18,Indiana,110,1.812
FIPS,10026,19,HD2024,8,FIPS,19,Iowa,75,1.235
FIPS,10026,20,HD2024,8,FIPS,20,Kansas,77,1.268
FIPS,10026,21,HD2024,8,FIPS,21,Kentucky,88,1.449
FIPS,10026,22,HD2024,8,FIPS,22,Louisiana,113,1.861
